"","PY","TI"
"SCHINSKE JN, 2016, ",2016,"SCIENTIST SPOTLIGHT HOMEWORK ASSIGNMENTS SHIFT STUDENTS' STEREOTYPES OF SCIENTISTS AND ENHANCE SCIENCE IDENTITY IN A DIVERSE INTRODUCTORY SCIENCE CLASS"
"WEI CA, 2012, ",2012,"EVOLUTION EDUCATION ACROSS THE LIFE SCIENCES: MAKING BIOLOGY EDUCATION MAKE SENSE"
"DOLAN EL, 2013, -a",2013,"ADDING TO THE BIOLOGY EDUCATION RESEARCH TOOL KIT: RESEARCH METHODS ESSAYS"
"SCAGER K, 2016, ",2016,"COLLABORATIVE LEARNING IN HIGHER EDUCATION: EVOKING POSITIVE INTERDEPENDENCE"
"SU T, 2014, ",2014,"INVESTIGATING THE EFFECTIVENESS OF AN EDUCATIONAL CARD GAME FOR LEARNING HOW HUMAN IMMUNOLOGY IS REGULATED"
"BASEY JM, 2014, ",2014,"AN EVALUATION OF TWO HANDS-ON LAB STYLES FOR PLANT BIODIVERSITY IN UNDERGRADUATE BIOLOGY"
"STRAUS KM, 2016, ",2016,"ONLINE TEACHING RESOURCES ABOUT MEDICINAL PLANTS AND ETHNOBOTANY"
"TAI RH, 2017, ",2017,"EXAMINING SUMMER LABORATORY RESEARCH APPRENTICESHIPS FOR HIGH SCHOOL STUDENTS AS A FACTOR IN ENTRY TO MD/PHD PROGRAMS AT MATRICULATION"
"WILTON M, 2019, ",2019,"IMPROVING ACADEMIC PERFORMANCE, BELONGING, AND RETENTION THROUGH INCREASING STRUCTURE OF AN INTRODUCTORY BIOLOGY COURSE"
"STARK LA, 2012, ",2012,"CELL BIOLOGY APPS FOR APPLE DEVICES"
"HANAUER DI, 2015, -a",2015,"THE FACULTY SELF-REPORTED ASSESSMENT SURVEY (FRAS): DIFFERENTIATING FACULTY KNOWLEDGE AND EXPERIENCE IN ASSESSMENT"
"BOKOR JR, 2014, ",2014,"HIGH SCHOOL STUDENTS' LEARNING AND PERCEPTIONS OF PHYLOGENETICS OF FLOWERING PLANTS"
"REED CR, 2021, ",2021,"CONCEPT INVENTORIES AS A COMPLEMENT TO LEARNING PROGRESSIONS"
"LEMONS PP, 2013, ",2013,"QUESTIONS FOR ASSESSING HIGHER-ORDER COGNITIVE SKILLS: IT'S NOT JUST BLOOM'S"
"AIKENS ML, 2016, ",2016,"A GUIDE FOR GRADUATE STUDENTS INTERESTED IN POSTDOCTORAL POSITIONS IN BIOLOGY EDUCATION RESEARCH"
"HAEGER H, 2016, ",2016,"MENTORING FOR INCLUSION: THE IMPACT OF MENTORING ON UNDERGRADUATE RESEARCHERS IN THE SCIENCES"
"GOEBEL CA, 2009, ",2009,"PROVIDING UNDERGRADUATE SCIENCE PARTNERS FOR ELEMENTARY TEACHERS: BENEFITS AND CHALLENGES"
"LINDSAY J, 2019, ",2019,"USING A RECONCILIATION MODULE LEADS TO LARGE GAINS IN EVOLUTION ACCEPTANCE"
"BUSH SD, 2020, ",2020,"DISCIPLINARY BIAS, MONEY MATTERS, AND PERSISTENCE: DEANS' PERSPECTIVES ON SCIENCE FACULTY WITH EDUCATION SPECIALTIES (SFES)"
"QUILLIN K, 2015, ",2015,"DRAWING-TO-LEARN: A FRAMEWORK FOR USING DRAWINGS TO PROMOTE MODEL-BASED REASONING IN BIOLOGY"
"BERTUZZI S, 2013, ",2013,"SOCIETIES COMING TOGETHER IN SUPPORT OF LIFE SCIENCES EDUCATION"
"STARK LA, 2010, -a",2010,"EPIGENETICS ONLINE: MULTIMEDIA TEACHING RESOURCES"
"CHOW I, 2008, ",2008,"WORKING TOGETHER TO ADDRESS CHALLENGES TO THE TEACHING OF EVOLUTION"
"EDDY SL, 2018, ",2018,"RECENT RESEARCH IN SCIENCE TEACHING AND LEARNING"
"OSTERHAGE JL, 2019, ",2019,"OPPORTUNITIES FOR SELF-EVALUATION INCREASE STUDENT CALIBRATION IN AN INTRODUCTORY BIOLOGY COURSE"
"PORTER JA, 2010, ",2010,"INTEGRATION OF INFORMATION AND SCIENTIFIC LITERACY: PROMOTING LITERACY IN UNDERGRADUATES"
"DOLAN E, 2008, -a-b",2008,"RECENT RESEARCH IN SCIENCE TEACHING AND LEARNING"
"SEIFERT K, 2009, ",2009,"AN INVESTIGATIVE, COOPERATIVE LEARNING APPROACH TO THE GENERAL MICROBIOLOGY LABORATORY"
"SMITH MK, 2013, -a",2013,"THE TEACHING DEMONSTRATION: WHAT FACULTY EXPECT AND HOW TO PREPARE FOR THIS ASPECT OF THE JOB INTERVIEW"
"BATHGATE ME, 2019, ",2019,"SUPPORTS: A KEY FACTOR IN FACULTY IMPLEMENTATION OF EVIDENCE-BASED TEACHING"
"SORGO A, 2010, ",2010,"CONNECTING BIOLOGY AND MATHEMATICS: FIRST PREPARE THE TEACHERS"
"KLYMKOWSKY MW, 2010, ",2010,"THINKING ABOUT THE CONCEPTUAL FOUNDATIONS OF THE BIOLOGICAL SCIENCES"
"WEI CA, 2011, ",2011,"UNDERGRADUATE RESEARCH EXPERIENCES IN BIOLOGY: ALTERNATIVES TO THE APPRENTICESHIP MODEL"
"DAVIDESCO I, 2020, -a",2020,"CROSS-DISCIPLINARY RESEARCH IN BIOLOGY EDUCATION: CHALLENGES AND OPPORTUNITIES"
"DURHAM MF, 2017, ",2017,"MEASUREMENT INSTRUMENT FOR SCIENTIFIC TEACHING (MIST): A TOOL TO MEASURE THE FREQUENCIES OF RESEARCH-BASED TEACHING PRACTICES IN UNDERGRADUATE SCIENCE COURSES"
"LEDBETTER MLS, 2012, ",2012,"TEACHER PREPARATION: ONE KEY TO UNLOCKING THE GATE TO STEM LITERACY"
"DINSDALE E, 2015, ",2015,"NIBLSE: A NETWORK FOR INTEGRATING BIOINFORMATICS INTO LIFE SCIENCES EDUCATION"
"[ANONYMOUS], 2014, ",2014,"GENDER GAPS IN ACHIEVEMENT AND PARTICIPATION IN MULTIPLE INTRODUCTORY BIOLOGY CLASSROOMS (VOL 13, PG 478, 2014)"
"KIRCHOFF BK, 2014, ",2014,"OPTIMIZING LEARNING OF SCIENTIFIC CATEGORY KNOWLEDGE IN THE CLASSROOM: THE CASE OF PLANT IDENTIFICATION"
